"","BTC-USD","LTC-USD","XRP-USD","ETH-USD","ARK-USD","BCH-USD"
"1",-0.0484193105218348,0.0182375639537452,0.0748012130826983,0.115147034141335,0.17876064316884,0.0424813994638074
"2",-0.00967903820385051,-0.029151148087072,-0.0384552404365245,-0.0350470497788333,-0.0411762829772835,0.227690832478981
"3",0.0323541961343282,0.0196062030799073,0.0225638730998899,0.0283402577844857,0.138469674265105,-0.306648937748184
"4",0.0240849265603059,0.0130143829331217,-0.00229095174655594,-0.0170344709012335,0.0762662153189304,-0.472252917372156
"5",0.125319889840029,0.0654616893008254,0.0579226477327045,0.13739400687286,0.22314355131421,-0.138912943078738
"6",-0.00947530569538778,-0.0148151070886569,-0.0252068140333462,0.0443229202230045,0.0506035947159946,0.0934101036374021
"7",0.0512265809627764,0.0119997073778241,-0.0111608301375286,0.0201316583763742,-0.0460177134058301,0.288012813226499
"8",0.0080424399752489,0.0634399986288356,0.0987732103583046,0.0938812589173452,-0.0791596397454136,0.0625701016523071
"9",-0.0237803544978552,-0.027862745566315,-0.0662006371559812,-0.00415692307240807,-0.00496459214277983,-0.131308353405766
"10",0.0226979520448466,-0.0170979996393153,-0.0175346958377828,0.0101085839879125,0.107288735562918,-0.0927964939105607
"11",0.0646266934886104,0.00297619260977641,-0.0172850693214452,0.0363437230480809,-0.0661463262484098,0.172816201532585
"12",0.0577493105819732,-0.0179915110199569,-0.0354931360259424,-0.00421168215276808,0.0870793305676544,-0.0319524265716455
"13",0.0481501325377238,-0.0170012373712899,-0.0349872626213448,-0.03771283876112,-0.079535628571677,-0.0682585322288605
"14",0.0632684777394666,0.00460575423437832,0.0155691767642433,0.00852671923700611,0.663935179084838,0.0163987849654825
"15",-0.0391775939743889,-0.0569525565430806,-0.0650536072277676,-0.0431702573397238,0.0293276150945201,-0.00893899077844516
"16",0.0528227035476801,0.0183618426965816,0.0163525656465145,0.0505636402258448,-0.103435587248242,0.00777173979244045
"17",-0.0250361510987485,-0.00318904587393452,-0.0157186512037335,-0.00359000855111543,-0.182321556793955,0.395785946489139
"18",-0.0414047217492361,0.0642818118390492,-0.00571974867278684,-0.0259071131662346,0.182321556793955,0.437944053241042
"19",0.0109209077571166,-0.033724570606214,-0.0277885408886303,0.00136600667005747,0.0190481949706944,0.0682300194940468
"20",-0.0204095154890308,0.013626628433547,0.0391955086820068,0.0175236140390193,0.0430835861363117,-0.0264383979675956
"21",-0.0152387201264364,0.0485718255616259,0.210078102564047,0.0763211745687634,0.0865092429092825,-0.172644856215824
"22",0.0209030322835005,-0.0357747529539145,0.212257133847603,-0.026701032070349,-0.0337110573423117,0.123242710660779
